strategy_name,snippet_ID,model_raw_response,parsed_response,company,role,years_experience_required
zero_shot_prompt,j01,"```json
{
  ""company"": ""Acme Corp"",
  ""role"": ""Senior Software Engineer"",
  ""years_experience_required"": ""5+""
}
```",null,Acme Corp,Senior Software Engineer,5+
few_shot_prompt,j01,"{""company"": ""Acme Corp"", ""role"": ""Senior Software Engineer"", ""years_experience_required"": 5}","{""company"": ""Acme Corp"", ""role"": ""Senior Software Engineer"", ""years_experience_required"": 5}",Acme Corp,Senior Software Engineer,5
structured_prompt,j01,"{
  ""company"": ""Acme Corp"",
  ""role"": ""Senior Software Engineer"",
  ""years_experience_required"": 5
}","{""company"": ""Acme Corp"", ""role"": ""Senior Software Engineer"", ""years_experience_required"": 5}",Acme Corp,Senior Software Engineer,5
cot_prompt,j01,"To extract the required information, let's analyze the job posting step by step:

1. **Company Name**: The job posting begins with ""Acme Corp is hiring"", indicating that the company name is ""Acme Corp"".

2. **Role**: The phrase ""Senior Software Engineer"" clearly states the job title being offered.

3. **Years of Experience Required**: The posting mentions ""5+ years of backend development experience"". This indicates a minimum of 5 years of experience is required for the role.

Now, consolidating this information into the specified JSON format:

```json
{
  ""company"": ""Acme Corp"",
  ""role"": ""Senior Software Engineer"",
  ""years_experience_required"": 5,
  ""reasoning"": ""The company name is derived from the opening of the job posting. The role is specified directly in the text, and the years of experience required is indicated by '5+' which means a minimum of 5 years.""
}
```",null,Acme Corp,Senior Software Engineer,5
zero_shot_prompt,j02,"```json
{
  ""company"": ""Northwind Ltd"",
  ""role"": ""Data Analyst"",
  ""years_experience_required"": 2
}
```",null,Northwind Ltd,Data Analyst,2
few_shot_prompt,j02,"{""company"": ""Northwind Ltd"", ""role"": ""Data Analyst"", ""years_experience_required"": 2}","{""company"": ""Northwind Ltd"", ""role"": ""Data Analyst"", ""years_experience_required"": 2}",Northwind Ltd,Data Analyst,2
structured_prompt,j02,"{
  ""company"": ""Northwind Ltd."",
  ""role"": ""Data Analyst"",
  ""years_experience_required"": 2
}","{""company"": ""Northwind Ltd."", ""role"": ""Data Analyst"", ""years_experience_required"": 2}",Northwind Ltd.,Data Analyst,2
cot_prompt,j02,"{
  ""company"": ""Northwind Ltd."",
  ""role"": ""Data Analyst"",
  ""years_experience_required"": 2,
  ""reasoning"": ""The job posting explicitly states that 2 years minimum experience is preferred for the role of Data Analyst at Northwind Ltd.""
}","{""company"": ""Northwind Ltd."", ""role"": ""Data Analyst"", ""years_experience_required"": 2, ""reasoning"": ""The job posting explicitly states that 2 years minimum experience is preferred for the role of Data Analyst at Northwind Ltd.""}",Northwind Ltd.,Data Analyst,2
zero_shot_prompt,j03,"```json
{
  ""company"": ""Globex International"",
  ""role"": ""Product Manager - Growth"",
  ""years_experience_required"": 4
}
```",null,Globex International,Product Manager - Growth,4
few_shot_prompt,j03,"{""company"": ""Globex International"", ""role"": ""Product Manager - Growth"", ""years_experience_required"": 4}","{""company"": ""Globex International"", ""role"": ""Product Manager - Growth"", ""years_experience_required"": 4}",Globex International,Product Manager - Growth,4
