strategy_name,snippet_ID,model_raw_response,parsed_response,company_actual,role_actual,years_experience_required_actual,id,company_gold,role_gold,years_experience_required_gold,notes,company_eval,role_eval,years_experience_required_eval,accuracy,parsed_response_eval,judge_score,judge_reason
few_shot_prompt,j01,"{""company"": ""Acme Corp"", ""role"": ""Senior Software Engineer"", ""years_experience_required"": 5}","{""company"": ""Acme Corp"", ""role"": ""Senior Software Engineer"", ""years_experience_required"": 5}",Acme Corp,Senior Software Engineer,5,j01,Acme Corp,Senior Software Engineer,5,clean — clear company + role + years,1,1,1,3,1,23,"The LLM was able to accurately extract the requested information: company, role, and years of experience required, and returned the response in a parseable JSON format. However, the 'years_experience_required' field in the LLM response is a number, whereas in the golden response it is a string. This minor discrepancy slightly affects the rating but does not hinder the understanding of the extracted values."
few_shot_prompt,j02,"{""company"": ""Northwind Ltd"", ""role"": ""Data Analyst"", ""years_experience_required"": 2}","{""company"": ""Northwind Ltd"", ""role"": ""Data Analyst"", ""years_experience_required"": 2}",Northwind Ltd,Data Analyst,2,j02,Northwind Ltd,Data Analyst,2,clean — preferred used but still a stated minimum,1,1,1,3,1,23,"The LLM was able to accurately extract the requested information: company, role, and years of experience required, and returned the response in a parseable JSON format. However, the 'years_experience_required' field in the LLM response is a number, whereas in the golden response it is a string. This minor discrepancy slightly affects the rating but does not hinder the understanding of the extracted values."
few_shot_prompt,j03,"{""company"": ""Globex International"", ""role"": ""Product Manager - Growth"", ""years_experience_required"": 4}","{""company"": ""Globex International"", ""role"": ""Product Manager - Growth"", ""years_experience_required"": 4}",Globex International,Product Manager - Growth,4,j03,Globex International,Product Manager - Growth,4,clean — 'at least 4 years',1,1,1,3,1,23,"The LLM was able to accurately extract the requested information: company, role, and years of experience required, and returned the response in a parseable JSON format. However, the 'years_experience_required' field in the LLM response is a number, whereas in the golden response it is a string. This minor discrepancy slightly affects the rating but does not hinder the understanding of the extracted values."
few_shot_prompt,j04,"{""company"": ""Initech"", ""role"": ""Lead DevOps Engineer"", ""years_experience_required"": 6}","{""company"": ""Initech"", ""role"": ""Lead DevOps Engineer"", ""years_experience_required"": 6}",Initech,Lead DevOps Engineer,6,j04,Initech,Lead DevOps Engineer,6,slightly fuzzy — 'around 6 years' — accept 6,1,1,1,3,1,23,"The LLM was able to accurately extract the requested information: company, role, and years of experience required, and returned the response in a parseable JSON format. However, the 'years_experience_required' field in the LLM response is a number, whereas in the golden response it is a string. This minor discrepancy slightly affects the rating but does not hinder the understanding of the extracted values."
few_shot_prompt,j05,"{""company"": ""Hooli"", ""role"": ""Junior Frontend Developer"", ""years_experience_required"": 0}","{""company"": ""Hooli"", ""role"": ""Junior Frontend Developer"", ""years_experience_required"": 0}",Hooli,Junior Frontend Developer,0,j05,Hooli,Junior Frontend Developer,0,edge — fresh grads OK = 0 years,1,1,1,3,1,23,"The LLM was able to accurately extract the requested information: company, role, and years of experience required, and returned the response in a parseable JSON format. However, the 'years_experience_required' field in the LLM response is a number, whereas in the golden response it is a string. This minor discrepancy slightly affects the rating but does not hinder the understanding of the extracted values."
few_shot_prompt,j06,"{""company"": ""Pied Piper Inc."", ""role"": ""Senior ML Engineer"", ""years_experience_required"": 7}","{""company"": ""Pied Piper Inc."", ""role"": ""Senior ML Engineer"", ""years_experience_required"": 7}",Pied Piper Inc.,Senior ML Engineer,7,j06,Pied Piper Inc.,Senior ML Engineer,7,fuzzy — '7+ years' typically taken as 7; exceptional candidates clause is colour text,1,1,1,3,1,23,"The LLM was able to accurately extract the requested information: company, role, and years of experience required, and returned the response in a parseable JSON format. However, the 'years_experience_required' field in the LLM response is a number, whereas in the golden response it is a string. This minor discrepancy slightly affects the rating but does not hinder the understanding of the extracted values."
few_shot_prompt,j07,"{""company"": ""Soylent Industries"", ""role"": ""Engineering Manager"", ""years_experience_required"": 3}","{""company"": ""Soylent Industries"", ""role"": ""Engineering Manager"", ""years_experience_required"": 3}",Soylent Industries,Engineering Manager,3,j07,Soylent Industries,Engineering Manager,3,spelled-out number — 'about three years' → 3,1,1,1,3,1,23,"The LLM was able to accurately extract the requested information: company, role, and years of experience required, and returned the response in a parseable JSON format. However, the 'years_experience_required' field in the LLM response is a number, whereas in the golden response it is a string. This minor discrepancy slightly affects the rating but does not hinder the understanding of the extracted values."
few_shot_prompt,j08,"{""company"": ""Wonka Confectionery Ltd."", ""role"": ""Senior UX Researcher"", ""years_experience_required"": 5}","{""company"": ""Wonka Confectionery Ltd."", ""role"": ""Senior UX Researcher"", ""years_experience_required"": 5}",Wonka Confectionery Ltd.,Senior UX Researcher,5,j08,Wonka Confectionery Ltd,Senior UX Researcher,5,clean — 'five years' → 5,0,1,1,2,1,23,"The LLM was able to accurately extract the requested information: company, role, and years of experience required, and returned the response in a parseable JSON format. However, the 'years_experience_required' field in the LLM response is a number, whereas in the golden response it is a string. This minor discrepancy slightly affects the rating but does not hinder the understanding of the extracted values."
few_shot_prompt,j09,"{""company"": ""Stark Industries"", ""role"": ""Cybersecurity Analyst"", ""years_experience_required"": 3}","{""company"": ""Stark Industries"", ""role"": ""Cybersecurity Analyst"", ""years_experience_required"": 3}",Stark Industries,Cybersecurity Analyst,3,j09,Stark Industries,Cybersecurity Analyst,3,"range 3-5 — take the minimum, 3. Accept 3 or 'between 3 and 5'.",1,1,1,3,1,23,"The LLM was able to accurately extract the requested information: company, role, and years of experience required, and returned the response in a parseable JSON format. However, the 'years_experience_required' field in the LLM response is a number, whereas in the golden response it is a string. This minor discrepancy slightly affects the rating but does not hinder the understanding of the extracted values."
few_shot_prompt,j10,"{""company"": ""Cyberdyne Systems"", ""role"": ""AI/ML Research Scientist"", ""years_experience_required"": ""null""}","{""company"": ""Cyberdyne Systems"", ""role"": ""AI/ML Research Scientist"", ""years_experience_required"": ""null""}",Cyberdyne Systems,AI/ML Research Scientist,null,j10,Cyberdyne Systems,AI/ML Research Scientist,,edge — no years stated. Correct answer: null. Penalise if model fabricates a number.,1,1,1,3,1,23,"The LLM was able to accurately extract the requested information: company, role, and years of experience required, and returned the response in a parseable JSON format. However, the 'years_experience_required' field in the LLM response is a number, whereas in the golden response it is a string. This minor discrepancy slightly affects the rating but does not hinder the understanding of the extracted values."
